id,timestamp,datetime,user,log_user,uid,state,latitude,longitude,row
0,1653036653,20220520-085053,Marcsipad,,0,GPS,-1,-1,1
1,1653036656,20220520-085056,Marcsipad,,0,GPS,53.22640425803279,-0.5449996532918605,1
2,1653036656,20220520-085056,Marcsipad,,0,GPS,53.22640425803279,-0.5449996532918605,1
3,1653036656,20220520-085056,Marcsipad,,0,GPS,53.22634920564366,-0.5449166986792752,1
4,1653036656,20220520-085056,Marcsipad,,0,GPS,53.22634903782183,-0.5449163643396375,1
5,1653036657,20220520-085057,Marcsipad,,0,GPS,53.22636948703159,-0.5449125093907409,1
6,1653036663,20220520-085103,Marcsipad,,0,GPS,53.22635111471271,-0.5449125309307022,1
7,1653036663,20220520-085103,Marcsipad,,0,GPS,53.2263949152663,-0.545083179712634,1
8,1653036669,20220520-085109,Marcsipad,,0,GPS,53.226356807737744,-0.5449591003389864,1
9,1653036670,20220520-085110,Marcsipad,,0,GPS,53.226387008070006,-0.5450093316270124,1
10,1653036689,20220520-085129,Marcsipad,,0,GPS,53.226387008070006,-0.5450093316270124,1
11,1653036689,20220520-085129,Marcsipad,,0,GPS,53.226387008070006,-0.5450093316270124,1
12,1653036689,20220520-085129,Marcsipad,,0,GPS,53.226347789810696,-0.5449111557370961,1
13,1653036689,20220520-085129,Marcsipad,,0,GPS,53.22634832990534,-0.544913592868548,1
14,1653036689,20220520-085129,Marcsipad,,0,GPS,53.22637343414467,-0.5450421624098358,1
15,1653036725,20220520-085205,Marcsipad,,0,GPS,53.22637343414467,-0.5450421624098358,1
16,1653036725,20220520-085205,Marcsipad,,0,GPS,53.22637343414467,-0.5450421624098358,1
17,1653036725,20220520-085205,Marcsipad,,0,GPS,53.22634895925842,-0.5449170185908022,1
18,1653036725,20220520-085205,Marcsipad,,0,GPS,53.2263489146292,-0.5449165242954009,1
19,1653036726,20220520-085206,Marcsipad,,0,GPS,53.22639646797479,-0.5449094085047568,1
20,1653036728,20220520-085208,Marcsipad,Marcsipad,0,CALLED,53.22639646797479,-0.5449094085047568,1
21,1653036729,20220520-085209,Marcsipad,Marcsipad,0,INIT,53.22639646797479,-0.5449094085047568,1
22,1653036953,20220520-085553,Marcsipad,,1,GPS,-1,-1,1
23,1653036955,20220520-085555,Marcsipad,,1,GPS,53.226409004760576,-0.54493049923427,1
24,1653036961,20220520-085601,Marcsipad,Marcsipad,1,CALLED,53.226409004760576,-0.54493049923427,1
25,1653036964,20220520-085604,Marcsipad,Marcsipad,1,INIT,53.226409004760576,-0.54493049923427,1
26,1653036977,20220520-085617,Marcsipad,,2,GPS,53.226409004760576,-0.54493049923427,2
27,1653037004,20220520-085644,marcsphone,,0,GPS,-1,-1,1
28,1653037005,20220520-085645,marcsphone,,0,GPS,53.2264159,-0.5450689,1
29,1653037006,20220520-085646,marcsphone,,0,GPS,53.2264105,-0.5450751,1
30,1653037007,20220520-085647,marcsphone,,0,GPS,53.2264098,-0.5450684,1
31,1653037012,20220520-085652,marcsphone,,0,GPS,53.2264078,-0.5450611,1
32,1653037017,20220520-085657,marcsphone,marcsphone,0,CALLED,53.2264078,-0.5450611,1
